Word,Definition
aberration,"The act of wandering;  deviation  from truth, moral  rectitude ;  abnormal ; divergence from the straight, correct, proper, normal, or from the natural state."
adolescent,"Of,  relating  to, or at the age of  adolescence ; at the stage between being a  child  and an  adult ."
alluring,Having the power to  allure .
aloof,"At or from a  distance , but within  view , or at a small distance;  apart ;  away ."
alphanumeric,"Consisting of, or limited to,  letters  and/or  numbers , especially the  characters   A  to  Z  ( lowercase  and  uppercase ) and  0  to  9 ."
alter,( transitive )  To  change  the form or structure of.
archetype,"An  original   model  of which all other similar  concepts ,  objects , or  persons  are merely  copied ,  derivative ,  emulated , or  patterned ; a  prototype ."
ascent,The act of  ascending ; a motion upwards.
ashen,Made from the wood of the  ash-tree .
barricade,"A  barrier  constructed across a  road , especially as a  military   defence 
 An  obstacle , barrier, or  bulwark ."
barter,An  exchange  of goods or services without the use of  money .
behold,"( transitive ) 
 To  look at  or  see  (someone or something), especially  appreciatively ; to  descry , to  look upon ."
belittle,"( transitive )  To knowingly say that something is smaller or less important than it actually is, especially as a way of showing  contempt  or  deprecation ."
bespectacled,Wearing  spectacles  ( glasses ).
beverage,"( chiefly  Canada ,  US )  A  liquid  to  consume ; a  drink , such as  tea ,  coffee ,  liquor ,  beer ,  milk ,  juice , or a  soft drink , usually excluding  water ."
binder,Someone who  binds .
bloated,simple  past  and  past   participle  of  bloat
bonuses,plural  of  bonus
boot,( footwear )  A heavy  shoe  that  covers  part of the leg.
booth,A small  stall  for the  display  and  sale  of  goods .
boule,One of the  bowls  used in the French game of  boules .
brunt,The full  adverse  effects; the  chief   consequences  or  negative  results of a thing or event.
bulge,"An object which is  sticking out  from a surface; a  swelling ,  protuberant  part; a bending outward, especially when caused by pressure."
cadaver,"( literary ,   medicine )  A dead body; especially the corpse of a human to be dissected."
cadaverine,A foul-smelling  diamine  produced by  protein   hydrolysis  during  putrefaction  of animal tissue.
cadaverous,Corpselike ; hinting of  death ; imitating a  cadaver .
callous,( figurative )   Emotionally   hardened ;  unfeeling  and  indifferent  to the  suffering / feelings  of  others .
carabiner,"A metal link with a gate that can open and close, generally used for clipping ropes to anchors or other objects."
cardiac,"( biology ,   medicine )  Pertaining to the  heart ."
carriage,The act of  conveying ;  carrying .
cauldron,A large bowl-shaped  pot  used for boiling over an open  flame .
chequered,simple  past  and  past   participle  of  chequer
clarion,"( music ,   historical  or  poetic )  A  medieval   brass instrument   chiefly   used  as a  battle   signal ;  related  to the  trumpet , it had a  narrow ,  straight   pipe  and a  high-pitched ,  piercing   sound ."
clench,To  grip  or hold fast.
clogs,plural  of  clog
codex,An  early   manuscript   book .
collar,Clothes that  encircle  the neck.
collateral damage,"( military ,   euphemistic )   Damage  to  civilian  property or civilian  casualties  that is the  unintended  result of military operations."
compel,"( transitive ,   archaic ,   literally )  To  drive   together ,  round up ."
competent,"Having sufficient  skill ,  knowledge ,  ability , or  qualifications ."
